Episodio: 144, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9439, Recompensa: 583.50
Episodio: 145, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9439, Recompensa: 724.00
Episodio: 146, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9438, Recompensa: 520.00
Episodio: 147, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9437, Recompensa: 570.20
Episodio: 148, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9436, Recompensa: 609.40
Episodio: 149, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9435, Recompensa: 561.00
Episodio: 150, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9418, Recompensa: -4418.60
Episodio: 151, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9417, Recompensa: 520.70
Episodio: 152, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9417, Recompensa: 537.70
Episodio: 153, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9413, Recompensa: 1193.40
Episodio: 154, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9412, Recompensa: 631.00
Episodio: 155, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9411, Recompensa: 503.90
Episodio: 156, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9410, Recompensa: 510.50
Episodio: 157, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9408, Recompensa: 841.00
Episodio: 158, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9407, Recompensa: 491.50
Episodio: 159, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9406, Recompensa: 715.00
Episodio: 160, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9405, Recompensa: 480.00
Episodio: 161, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9404, Recompensa: 627.00
Episodio: 162, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9403, Recompensa: 809.90
Episodio: 163, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9398, Recompensa: 1041.00
Episodio: 164, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9395, Recompensa: 1270.30
Episodio: 165, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9375, Recompensa: -6255.70
Episodio: 166, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9374, Recompensa: 413.60
Episodio: 167, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9373, Recompensa: 542.20
Episodio: 168, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9369, Recompensa: 1238.50
Episodio: 169, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9368, Recompensa: 566.20
Episodio: 170, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9364, Recompensa: 596.90
Episodio: 171, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9363, Recompensa: 609.50
Episodio: 172, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9335, Recompensa: -8770.80
Episodio: 173, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9334, Recompensa: 553.00
Episodio: 174, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9329, Recompensa: 734.80
Episodio: 175, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9328, Recompensa: 534.00
Episodio: 176, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9327, Recompensa: 503.00
Episodio: 177, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9326, Recompensa: 513.40
Episodio: 178, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9321, Recompensa: 486.90
Episodio: 179, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9315, Recompensa: -182.80
Episodio: 180, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9314, Recompensa: 508.20
Episodio: 181, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9313, Recompensa: 636.00
Episodio: 182, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9311, Recompensa: 354.30
Episodio: 183, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9308, Recompensa: 1233.00
Episodio: 184, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9307, Recompensa: 521.00
Episodio: 185, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9305, Recompensa: 835.20
Episodio: 186, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9304, Recompensa: 689.90
Episodio: 187, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9302, Recompensa: 789.40
Episodio: 188, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9301, Recompensa: 527.00
Episodio: 189, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9300, Recompensa: 563.50
Episodio: 190, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9299, Recompensa: 758.00
Episodio: 191, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9298, Recompensa: 549.00
Episodio: 192, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9297, Recompensa: 593.90
Episodio: 193, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9296, Recompensa: 548.40
Episodio: 194, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9284, Recompensa: -158.80
Episodio: 195, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9283, Recompensa: 447.90
Episodio: 196, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9282, Recompensa: 599.20
Episodio: 197, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9282, Recompensa: 469.00
Episodio: 198, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9270, Recompensa: -2379.30
Episodio: 199, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9269, Recompensa: 783.20
Episodio: 200, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9251, Recompensa: -5083.90
Episodio: 201, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9242, Recompensa: -1190.80
Episodio: 202, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9241, Recompensa: 461.60
Episodio: 203, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9239, Recompensa: 1213.00
Episodio: 204, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9239, Recompensa: 544.00
Episodio: 205, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9236, Recompensa: 1351.80
Episodio: 206, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9235, Recompensa: 509.50
Episodio: 207, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9233, Recompensa: 1080.60
Episodio: 208, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9232, Recompensa: 527.00
Episodio: 209, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9231, Recompensa: 666.10
Episodio: 210, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9225, Recompensa: 1227.30
Episodio: 211, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9224, Recompensa: 730.00
Episodio: 212, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.9224, Recompensa: 552.00
Episodio: 213, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.9223, Recompensa: 533.00
Episodio: 214, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.9221, Recompensa: 1198.00
