Episodio: 30178, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 984.00
Episodio: 30179, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 456.00
Episodio: 30180, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1002.00
Episodio: 30181, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1620.80
Episodio: 30182, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 727.00
Episodio: 30183, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1156.00
Episodio: 30184, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 458.00
Episodio: 30185, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 470.00
Episodio: 30186, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 980.00
Episodio: 30187, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1812.80
Episodio: 30188, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 655.00
Episodio: 30189, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 459.00
Episodio: 30190, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2060.00
Episodio: 30191, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 828.20
Episodio: 30192, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1008.00
Episodio: 30193, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 283.00
Episodio: 30194, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2751.00
Episodio: 30195, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1008.00
Episodio: 30196, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1753.70
Episodio: 30197, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 605.00
Episodio: 30198, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1208.20
Episodio: 30199, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 956.90
Episodio: 30200, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 613.00
Episodio: 30201, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 504.00
Episodio: 30202, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 611.00
Episodio: 30203, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 726.70
Episodio: 30204, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -94.60
Episodio: 30205, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 340.90
Episodio: 30206, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 631.00
Episodio: 30207, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 643.00
Episodio: 30208, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30209, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1331.50
Episodio: 30210, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1262.00
Episodio: 30211, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 630.00
Episodio: 30212, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 2186.10
Episodio: 30213, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 840.10
Episodio: 30214, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 613.00
Episodio: 30215, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30216, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2985.00
Episodio: 30217, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -519.10
Episodio: 30218, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1551.20
Episodio: 30219, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1102.00
Episodio: 30220, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1119.70
Episodio: 30221, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 498.90
Episodio: 30222, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 621.00
Episodio: 30223, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 629.00
Episodio: 30224, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 684.00
Episodio: 30225, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 624.00
Episodio: 30226, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1758.90
Episodio: 30227, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 650.00
Episodio: 30228, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1020.50
Episodio: 30229, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 910.90
Episodio: 30230, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 953.00
Episodio: 30231, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: -4326.00
Episodio: 30232, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 628.00
Episodio: 30233, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 654.80
Episodio: 30234, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2577.90
Episodio: 30235, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 762.00
Episodio: 30236, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2375.00
Episodio: 30237, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 622.00
Episodio: 30238, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 69.10
Episodio: 30239, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30240, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 509.00
Episodio: 30241, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1150.90
Episodio: 30242, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 993.00
Episodio: 30243, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1046.00
Episodio: 30244, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 620.00
Episodio: 30245, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1010.00
Episodio: 30246, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 719.00
Episodio: 30247, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 721.00
Episodio: 30248, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 501.50
Episodio: 30249, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1788.70
Episodio: 30250, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 1057.00
Episodio: 30251, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 716.40
Episodio: 30252, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 627.00
Episodio: 30253, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 1884.40
Episodio: 30254, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2535.00
Episodio: 30255, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -909.00
Episodio: 30256, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: -1422.20
Episodio: 30257, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 968.00
Episodio: 30258, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 3147.00
Episodio: 30259, Nivel: SuperMarioBros-1-3-v0, Epsilon: 0.0500, Recompensa: 626.00
Episodio: 30260, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 2536.20
Episodio: 30261, Nivel: SuperMarioBros-1-1-v0, Epsilon: 0.0500, Recompensa: 2493.10
Episodio: 30262, Nivel: SuperMarioBros-2-1-v0, Epsilon: 0.0500, Recompensa: 1422.90
