Episodio: 377, Reward: 619.00, Epsilon: 0.7984
Episodio: 378, Reward: 205.00, Epsilon: 0.7983
Episodio: 379, Reward: 217.00, Epsilon: 0.7983
Episodio: 380, Reward: 625.00, Epsilon: 0.7981
Episodio: 381, Reward: 605.00, Epsilon: 0.7980
Episodio: 382, Reward: 590.00, Epsilon: 0.7978
Episodio: 383, Reward: 1240.00, Epsilon: 0.7967
Episodio: 384, Reward: 1021.00, Epsilon: 0.7962
Episodio: 385, Reward: 1012.00, Epsilon: 0.7957
Episodio: 386, Reward: 186.00, Epsilon: 0.7956
Episodio: 387, Reward: 214.00, Epsilon: 0.7956
Episodio: 388, Reward: 802.00, Epsilon: 0.7952
Episodio: 389, Reward: 614.00, Epsilon: 0.7949
Episodio: 390, Reward: 639.00, Epsilon: 0.7948
Episodio: 391, Reward: 234.00, Epsilon: 0.7947
Episodio: 392, Reward: 1279.00, Epsilon: 0.7942
Episodio: 393, Reward: 223.00, Epsilon: 0.7942
Episodio: 394, Reward: 616.00, Epsilon: 0.7939
Episodio: 395, Reward: 953.00, Epsilon: 0.7929
Episodio: 396, Reward: 639.00, Epsilon: 0.7927
Episodio: 397, Reward: 228.00, Epsilon: 0.7926
Episodio: 398, Reward: 244.00, Epsilon: 0.7926
Episodio: 399, Reward: 214.00, Epsilon: 0.7925
Episodio: 400, Reward: 962.00, Epsilon: 0.7916
Episodio: 401, Reward: 1314.00, Epsilon: 0.7904
Episodio: 402, Reward: 764.00, Epsilon: 0.7898
Episodio: 403, Reward: 243.00, Epsilon: 0.7897
Episodio: 404, Reward: 248.00, Epsilon: 0.7897
Episodio: 405, Reward: 892.00, Epsilon: 0.7882
Episodio: 406, Reward: 596.00, Epsilon: 0.7879
Episodio: 407, Reward: 244.00, Epsilon: 0.7879
Episodio: 408, Reward: 636.00, Epsilon: 0.7876
Episodio: 409, Reward: 246.00, Epsilon: 0.7876
Episodio: 410, Reward: 581.00, Epsilon: 0.7874
Episodio: 411, Reward: 237.00, Epsilon: 0.7873
Episodio: 412, Reward: 670.00, Epsilon: 0.7859
Episodio: 413, Reward: 577.00, Epsilon: 0.7857
Episodio: 414, Reward: 635.00, Epsilon: 0.7855
Episodio: 415, Reward: 223.00, Epsilon: 0.7854
Episodio: 416, Reward: 623.00, Epsilon: 0.7850
Episodio: 417, Reward: 947.00, Epsilon: 0.7841
Episodio: 418, Reward: 237.00, Epsilon: 0.7840
Episodio: 419, Reward: 681.00, Epsilon: 0.7828
Episodio: 420, Reward: 1112.00, Epsilon: 0.7808
Episodio: 421, Reward: 1505.00, Epsilon: 0.7801
Episodio: 422, Reward: 1396.00, Epsilon: 0.7785
Episodio: 423, Reward: 237.00, Epsilon: 0.7785
Episodio: 424, Reward: 660.00, Epsilon: 0.7778
Episodio: 425, Reward: 230.00, Epsilon: 0.7778
Episodio: 426, Reward: 709.00, Epsilon: 0.7773
Episodio: 427, Reward: 242.00, Epsilon: 0.7772
Episodio: 428, Reward: 777.00, Epsilon: 0.7769
Episodio: 429, Reward: 232.00, Epsilon: 0.7768
Episodio: 430, Reward: 643.00, Epsilon: 0.7761
Episodio: 431, Reward: 622.00, Epsilon: 0.7759
Episodio: 432, Reward: 735.00, Epsilon: 0.7756
Episodio: 433, Reward: 235.00, Epsilon: 0.7756
Episodio: 434, Reward: 649.00, Epsilon: 0.7754
Episodio: 435, Reward: 583.00, Epsilon: 0.7751
Episodio: 436, Reward: 588.00, Epsilon: 0.7748
Episodio: 437, Reward: 622.00, Epsilon: 0.7744
Episodio: 438, Reward: 208.00, Epsilon: 0.7744
Episodio: 439, Reward: 225.00, Epsilon: 0.7743
Episodio: 440, Reward: 597.00, Epsilon: 0.7741
Episodio: 441, Reward: 643.00, Epsilon: 0.7728
Episodio: 442, Reward: 610.00, Epsilon: 0.7727
Episodio: 443, Reward: 194.00, Epsilon: 0.7726
Episodio: 444, Reward: 733.00, Epsilon: 0.7719
Episodio: 445, Reward: 617.00, Epsilon: 0.7717
Episodio: 446, Reward: 1027.00, Epsilon: 0.7713
Episodio: 447, Reward: 942.00, Epsilon: 0.7703
Episodio: 448, Reward: 604.00, Epsilon: 0.7701
Episodio: 449, Reward: 636.00, Epsilon: 0.7699
Episodio: 450, Reward: 248.00, Epsilon: 0.7698
Episodio: 451, Reward: 231.00, Epsilon: 0.7697
Episodio: 452, Reward: 247.00, Epsilon: 0.7697
Episodio: 453, Reward: 606.00, Epsilon: 0.7696
Episodio: 454, Reward: 182.00, Epsilon: 0.7695
Episodio: 455, Reward: 585.00, Epsilon: 0.7692
Episodio: 456, Reward: 953.00, Epsilon: 0.7683
Episodio: 457, Reward: 808.00, Epsilon: 0.7680
Episodio: 458, Reward: 695.00, Epsilon: 0.7672
Episodio: 459, Reward: 763.00, Epsilon: 0.7669
Episodio: 460, Reward: 203.00, Epsilon: 0.7668
Episodio: 461, Reward: 607.00, Epsilon: 0.7667
Episodio: 462, Reward: 797.00, Epsilon: 0.7664
Episodio: 463, Reward: 1244.00, Epsilon: 0.7656
Episodio: 464, Reward: 609.00, Epsilon: 0.7651
Episodio: 465, Reward: 546.00, Epsilon: 0.7634
Episodio: 466, Reward: 628.00, Epsilon: 0.7632
Episodio: 467, Reward: 1261.00, Epsilon: 0.7623
Episodio: 468, Reward: 712.00, Epsilon: 0.7617
Episodio: 469, Reward: 741.00, Epsilon: 0.7611
Episodio: 470, Reward: 589.00, Epsilon: 0.7610
Episodio: 471, Reward: 236.00, Epsilon: 0.7609
Episodio: 472, Reward: 1287.00, Epsilon: 0.7603
